freq_Hz,real,imag,amplitude_dB,phase_deg,screen_FDATA
6049000000.0,1.173074722290039,-1.9597691297531128,7.174041327551757,-1139.0961880680748,7.174040794372559
6049500000.0,0.6783220767974854,-2.204899311065674,7.260505362968973,-1152.8998462035584,7.260505199432373
6050000000.0,0.2764856815338135,-2.253980875015259,7.123865300983049,-1163.0067207050317,7.123866081237793
6050500000.0,-0.19152842462062836,-2.236222505569458,7.022042162520766,-1174.8953334180305,7.0220417976379395
6051000000.0,-0.6869621872901917,-2.14227032661438,7.0425686297102095,-1187.779495982737,7.042568206787109
6051500000.0,-1.102768063545227,-1.9771720170974731,7.097198492659539,-1199.1506013217222,7.097198963165283
6052000000.0,-1.4596412181854248,-1.7052853107452393,7.023056137390644,-1210.5619158971751,7.023055553436279
6052500000.0,-1.752640962600708,-1.3880969285964966,6.988452072587551,-1221.6206698844012,6.988452434539795
6053000000.0,-1.997544527053833,-0.959852933883667,6.912143068604833,-1234.3349512562145,6.912143230438232
6053500000.0,-2.153397560119629,-0.5478309988975525,6.9348422612478124,-1245.7265649201966,6.934842586517334
6054000000.0,-2.1961488723754883,-0.12118684500455856,6.846439711037943,-1256.841534725759,6.846439838409424
6054500000.0,-2.2123262882232666,0.3333483934402466,6.9944822549504995,-1268.5687407112932,6.994482517242432
6055000000.0,-2.0902295112609863,0.7851154804229736,6.9770573503860955,-1280.5867856072116,6.977057456970215
6055500000.0,-1.9015671014785767,1.164161205291748,6.964637478551578,-1291.4754465631718,6.964637279510498
6056000000.0,-1.5986651182174683,1.5199580192565918,6.87172331337131,-1303.5542890876739,6.871723175048828
6056500000.0,-1.2567167282104492,1.814961314201355,6.878339755619848,-1315.3004708753313,6.878340244293213
6057000000.0,-0.9012660980224609,2.003618001937866,6.836562158276481,-1325.780863905354,6.836562156677246
6057500000.0,-0.4842310845851898,2.1257357597351074,6.7698903632079634,-1337.1673057479636,6.769890785217285
6058000000.0,-0.05175495520234108,2.219682216644287,6.928176468668751,-1348.664311818021,6.928176403045654
6058500000.0,0.3982720375061035,2.1460535526275635,6.779869279292859,-1360.513538132091,6.779869556427002
6059000000.0,0.8241297006607056,2.0341079235076904,6.827572444479206,-1372.0555935367452,6.827572822570801
6059500000.0,1.205388069152832,1.8495049476623535,6.878524613129109,-1383.0937158072707,6.878523826599121
6060000000.0,1.5134857892990112,1.5453985929489136,6.701433962569626,-1394.4022648788798,6.7014336585998535
6060500000.0,1.8042709827423096,1.1919699907302856,6.698917994339694,-1406.5497328874455,6.698918342590332
6061000000.0,2.0257952213287354,0.8407484292984009,6.822086538881367,-1417.460502524172,6.822086811065674
6061500000.0,2.1408801078796387,0.42505133152008057,6.7797505930171855,-1428.7704989061417,6.779749870300293
6062000000.0,2.2002298831939697,-0.011727001518011093,6.849484549967638,-1440.3053777862438,6.849484920501709
6062500000.0,2.1482012271881104,-0.46747714281082153,6.842440571164366,-1452.2769182115503,6.842440605163574
6063000000.0,2.005509614944458,-0.8780620694160461,6.806130298758989,-1463.6450011411812,6.8061299324035645
6063500000.0,1.7788864374160767,-1.238696575164795,6.719875296638969,-1474.8507516333573,6.719874858856201
6064000000.0,1.5270205736160278,-1.583221435546875,6.847001489760601,-1486.0351997657997,6.847001075744629
6064500000.0,1.1858869791030884,-1.849410891532898,6.836456790973783,-1497.3310256119657,6.836456775665283
6065000000.0,0.8307033181190491,-2.057561159133911,6.9228504988266915,-1508.0144928416082,6.922850608825684
6065500000.0,0.3650852143764496,-2.1816563606262207,6.895673774075831,-1520.4999707007908,6.895673751831055
6066000000.0,-0.07730764150619507,-2.229789972305298,6.9704963953092856,-1531.9856704675344,6.97049617767334
6066500000.0,-0.522022008895874,-2.193021297454834,7.060217896881131,-1543.3893843920396,7.06021785736084
6067000000.0,-0.9600247740745544,-2.01609206199646,6.977762066777941,-1555.4629033985352,6.977761745452881
6067500000.0,-1.3405661582946777,-1.8259384632110596,7.102163100129799,-1566.2853434256722,7.102162837982178
6068000000.0,-1.640191912651062,-1.4921694993972778,6.916824833131782,-1577.7055482496062,6.9168243408203125
6068500000.0,-1.9263901710510254,-1.1770652532577515,7.072687649615304,-1588.5741848926564,7.07268762588501
6069000000.0,-2.131544828414917,-0.7445592284202576,7.073872059263591,-1600.7454372651505,7.073872089385986
6069500000.0,-2.229645013809204,-0.2999785542488098,7.042624251391034,-1612.337384763508,7.042623996734619
6070000000.0,-2.308363199234009,0.14259211719036102,7.282623003465197,-1623.5347811394488,7.282622814178467
6070500000.0,-2.22556209564209,0.6200006008148193,7.273401163807186,-1635.5668574720776,7.273400783538818
6071000000.0,-2.02577543258667,1.0404517650604248,7.148581354445611,-1647.1853344234503,7.148581027984619
6071500000.0,-1.8111218214035034,1.4273585081100464,7.257086879428343,-1658.2419059907252,7.257086753845215
6072000000.0,-1.5001384019851685,1.7433433532714844,7.234278625472321,-1669.2881664583022,7.234278678894043
6072500000.0,-1.0622711181640625,2.027519464492798,7.192695454285229,-1682.3487669547171,7.192695617675781
6073000000.0,-0.6468868851661682,2.196495532989502,7.195844357682892,-1693.589843870434,7.1958441734313965
6073500000.0,-0.16689717769622803,2.2574496269226074,7.096034835153272,-1705.7717159547399,7.096035003662109
6074000000.0,0.23277616500854492,2.29144287109375,7.246768065985995,-1715.800492157999,7.246767997741699
6074500000.0,0.6617990136146545,2.173816442489624,7.129404687948173,-1726.932402748703,7.1294050216674805
6075000000.0,1.0699337720870972,1.984427571296692,7.06095422001979,-1738.331989831272,7.060954570770264
6075500000.0,1.4674429893493652,1.7121905088424683,7.062896988330218,-1750.59842261335,7.062897682189941
6076000000.0,1.8043822050094604,1.380622386932373,7.12810707251367,-1762.578603393061,7.128107070922852
6076500000.0,2.0294697284698486,1.0622726678848267,7.199251845163274,-1772.3713714530024,7.199251651763916
6077000000.0,2.1482019424438477,0.6143267154693604,6.982892703044867,-1784.0409261413133,6.9828925132751465
6077500000.0,2.2632265090942383,0.2152182012796402,7.133656218372046,-1794.5678765214072,7.1336565017700195
6078000000.0,2.2574689388275146,-0.1956131011247635,7.104922791794994,-1804.9523957594208,7.104923248291016
6078500000.0,2.176189422607422,-0.6723620295524597,7.14989177040089,-1817.16921423211,7.149892330169678
6079000000.0,1.9801127910614014,-1.0794910192489624,7.063889529263924,-1828.5977355076568,7.063889503479004
6079500000.0,1.7517417669296265,-1.4741230010986328,7.194670110095302,-1840.0812297439352,7.194669723510742
6080000000.0,1.4039613008499146,-1.75298011302948,7.02779091142448,-1851.3087721334539,7.027790546417236
6080500000.0,1.1016846895217896,-2.039675712585449,7.302965442470645,-1861.6253035903974,7.3029656410217285
6081000000.0,0.665457546710968,-2.228188991546631,7.330093723179667,-1873.371534551131,7.330093860626221
6081500000.0,0.21935822069644928,-2.3070154190063477,7.300097211081804,-1884.568467789154,7.3000969886779785
6082000000.0,-0.20482340455055237,-2.3438069820404053,7.4314773808836945,-1894.9943440952052,7.431477069854736
6082500000.0,-0.7031437754631042,-2.199838876724243,7.2702876806611165,-1907.7256584864858,7.270287990570068
6083000000.0,-1.1334385871887207,-2.0327203273773193,7.337295684492889,-1919.1439027892338,7.3372955322265625
6083500000.0,-1.4932570457458496,-1.8179198503494263,7.430900983865383,-1929.4000159164925,7.430901527404785
6084000000.0,-1.8370243310928345,-1.500045657157898,7.501067271781787,-1940.766204536711,7.501067638397217
6084500000.0,-2.1476876735687256,-1.0644077062606812,7.593298024743065,-1953.6366913987815,7.593298435211182
6085000000.0,-2.2752668857574463,-0.6742578148841858,7.5062123522635,-1963.4932157229812,7.5062127113342285
6085500000.0,-2.3914122581481934,-0.2203565239906311,7.609807949449428,-1974.7353507737344,7.609807968139648
6086000000.0,-2.3666422367095947,0.27314797043800354,7.540121848489935,-1986.5837094343653,7.540122032165527
6086500000.0,-2.287733793258667,0.731019914150238,7.610339874857716,-1997.7207027741047,7.610340118408203
